home_team,away_team,home_goals,away_goals,results
Manchester Utd,Leicester City,2–1,2–1,2–1
Newcastle Utd,Tottenham,1–2,1–2,1–2
Fulham,Crystal Palace,0–2,0–2,0–2
Bournemouth,Cardiff City,2–0,2–0,2–0
Watford,Brighton,2–0,2–0,2–0
Huddersfield,Chelsea,0–3,0–3,0–3
Wolves,Everton,2–2,2–2,2–2
Southampton,Burnley,0–0,0–0,0–0
Liverpool,West Ham,4–0,4–0,4–0
Arsenal,Manchester City,0–2,0–2,0–2
,,,,
Cardiff City,Newcastle Utd,0–0,0–0,0–0
West Ham,Bournemouth,1–2,1–2,1–2
Everton,Southampton,2–1,2–1,2–1
Leicester City,Wolves,2–0,2–0,2–0
